speaker_code,audio,color,marker
1,061ea7d0-Audio_SP16,"rgba(31, 119, 180, 0.75)",circle
2,0af9ac47-Audio_SP14,"rgba(255, 127, 14, 0.75)",circle
3,0e6115f2-Audio_SP19,"rgba(44, 160, 44, 0.75)",circle
4,0f786745-Audio_SP20,"rgba(214, 39, 40, 0.75)",circle
5,12c532f8-Audio_SP15,"rgba(148, 103, 189, 0.75)",circle
6,181d5ce9-Audio_SP21,"rgba(140, 86, 75, 0.75)",circle
7,1c403477-Audio_SP13,"rgba(227, 119, 194, 0.75)",circle
8,1d46eb6e-Audio_SP18,"rgba(31, 119, 180, 0.75)",diamond
9,2988c6fc-Audio_SP13,"rgba(255, 127, 14, 0.75)",diamond
10,2e25304d-Audio_SP12,"rgba(44, 160, 44, 0.75)",diamond
11,30a90cb2-Audio_SP21,"rgba(214, 39, 40, 0.75)",diamond
12,3361ee02-Audio_SP10,"rgba(148, 103, 189, 0.75)",diamond
13,34ad326e-Audio_SP7,"rgba(140, 86, 75, 0.75)",diamond
14,375a28cd-Audio_SP16,"rgba(227, 119, 194, 0.75)",diamond
15,42d56bbf-Audio_SP23,"rgba(31, 119, 180, 0.75)",square
16,49ae7020-Audio_SP17,"rgba(255, 127, 14, 0.75)",square
17,501e6487-Audio_SP19,"rgba(44, 160, 44, 0.75)",square
18,514fc6b6-Audio_SP19,"rgba(214, 39, 40, 0.75)",square
19,51a17262-Audio_SP18,"rgba(148, 103, 189, 0.75)",square
20,5278b5b9-Audio_SP15,"rgba(140, 86, 75, 0.75)",square
21,5586979c-Audio_SP18,"rgba(227, 119, 194, 0.75)",square
22,5819ce7a-Audio_SP11,"rgba(31, 119, 180, 0.75)",cross
23,5a932187-audio_SP16,"rgba(255, 127, 14, 0.75)",cross
24,63239054-Audio_SP15,"rgba(44, 160, 44, 0.75)",cross
25,713a2f9b-Audio_SP16,"rgba(214, 39, 40, 0.75)",cross
26,7a414497-Audio_SP15,"rgba(148, 103, 189, 0.75)",cross
27,7aee4437-Audio_SP12,"rgba(140, 86, 75, 0.75)",cross
28,7c3c98d2-Audio_SP13,"rgba(227, 119, 194, 0.75)",cross
29,7dec1dd7-Audio_SP13,"rgba(31, 119, 180, 0.75)",x
30,7e277fda-Audio_SP28,"rgba(255, 127, 14, 0.75)",x
31,85c7895f-Audio_SP16,"rgba(44, 160, 44, 0.75)",x
32,919b9bc1-Audio_SP14,"rgba(214, 39, 40, 0.75)",x
33,9a0c18cb-Audio_SP14,"rgba(148, 103, 189, 0.75)",x
34,a1a056ce-Audio_SP11,"rgba(140, 86, 75, 0.75)",x
35,a452055c-Audio_SP11,"rgba(227, 119, 194, 0.75)",x
36,adad0062-Audio_SP17,"rgba(31, 119, 180, 0.75)",circle-open
37,c3533b36-Audio_SP16,"rgba(255, 127, 14, 0.75)",circle-open
38,cafd9c21-Audio_SP27,"rgba(44, 160, 44, 0.75)",circle-open
39,d4c363bf-Audio_SP13,"rgba(214, 39, 40, 0.75)",circle-open
40,dbeec025-Audio_SP13,"rgba(148, 103, 189, 0.75)",circle-open
41,e90f8e4d-Audio_SP22,"rgba(140, 86, 75, 0.75)",circle-open
42,f061152e-Audio_SP12,"rgba(227, 119, 194, 0.75)",circle-open
43,fcd45f4d-Audio_SP21,"rgba(31, 119, 180, 0.75)",diamond-open
