audio,vowel,f1_median,f2_median,f3_median
061ea7d0-Audio_SP16,i,414.9667912135186,2165.304763769491,2648.674434324106
0af9ac47-Audio_SP14,i,430.770601933547,2076.185294861082,2712.7867578303976
0e6115f2-Audio_SP19,i,361.9798692756276,2242.710787993946,2797.941664095952
0f786745-Audio_SP20,i,368.6180245235911,2176.7885625017234,2704.841871727333
12c532f8-Audio_SP15,i,342.33805972940934,2128.8003494464783,2460.837828540579
181d5ce9-Audio_SP21,i,348.7632974620207,2026.306804261761,2719.4473528777103
1c403477-Audio_SP13,i,372.8142985129683,2127.747631671456,2840.465952513506
1d46eb6e-Audio_SP18,i,389.8127923134527,2328.1856304511066,2995.2953354379747
2988c6fc-Audio_SP13,i,350.5740576324679,2311.6932727965145,2949.094001489314
2e25304d-Audio_SP12,i,420.8222314108283,2393.8021657035506,2914.4637777181265
30a90cb2-Audio_SP21,i,391.0269216835491,2166.766835377606,2967.0059969499403
3361ee02-Audio_SP10,i,327.4631769980781,1808.6533619470224,2758.6700685097408
34ad326e-Audio_SP7,i,324.244216862576,2081.603492279575,3497.402613628172
375a28cd-Audio_SP16,i,360.7315539799458,2076.099723923443,2864.876704144138
42d56bbf-Audio_SP23,i,300.0523742218971,2191.908520672724,3490.0732014486125
49ae7020-Audio_SP17,i,463.7514279429016,2350.297638223938,2964.9076790390486
501e6487-Audio_SP19,i,315.1124023829682,1940.5327565557216,2456.581495541509
514fc6b6-Audio_SP19,i,469.5691193409915,2664.288483301759,3263.0727797554864
51a17262-Audio_SP18,i,408.5976290047712,2805.0985379376166,3257.8268329075945
5278b5b9-Audio_SP15,i,333.0615261311883,2224.365761051657,2776.7533691202843
5586979c-Audio_SP18,i,393.4612178596391,2113.587946735772,2661.3878216765934
5819ce7a-Audio_SP11,i,398.26607118562384,2366.687870232576,2866.6476809067576
5a932187-audio_SP16,i,386.6279313707991,2121.1818220481823,2658.4060574395576
63239054-Audio_SP15,i,377.5544605670518,2016.937289413809,2729.2805650230675
713a2f9b-Audio_SP16,i,327.0105516191462,2048.6550889617192,2714.1147930391494
7a414497-Audio_SP15,i,368.4185680847525,2148.479074393479,2753.1002399556683
7aee4437-Audio_SP12,i,427.7558827361903,2251.286759008278,2943.737185352076
7c3c98d2-Audio_SP13,i,340.93978333551024,2520.594418256848,3161.47980341499
7dec1dd7-Audio_SP13,i,362.710226230876,2085.7642427103183,2685.634634874453
7e277fda-Audio_SP28,i,409.4093360874458,2212.00755826398,2788.0504887725574
85c7895f-Audio_SP16,i,336.2113683691624,2117.0372489725896,2818.157430771761
919b9bc1-Audio_SP14,i,329.03184554219786,2188.637451754093,2794.63927360071
9a0c18cb-Audio_SP14,i,305.2818775997876,2020.921369510473,3010.36855606414
a1a056ce-Audio_SP11,i,432.16265944905007,2513.0205942955904,3228.290285980522
a452055c-Audio_SP11,i,350.1009875471542,2024.1236916583457,2627.4566435384286
adad0062-Audio_SP17,i,404.06514869413246,2070.575701064853,2696.457956698975
c3533b36-Audio_SP16,i,354.2790248296264,2042.3147727038,2592.373392967544
cafd9c21-Audio_SP27,i,391.29739987478393,1960.4317996553264,2524.6498572844785
d4c363bf-Audio_SP13,i,403.499217920337,2502.554278927994,3112.4966148897656
dbeec025-Audio_SP13,i,421.22242201447006,1980.126667758952,2766.939454161844
e90f8e4d-Audio_SP22,i,363.10855012588496,2311.7145530598577,2904.209943471042
f061152e-Audio_SP12,i,481.4955661090145,2411.643823070924,3066.743482596936
fcd45f4d-Audio_SP21,i,376.56710038081,1990.3813990246829,2579.9943648112157
