audio,vowel,f1_median,f2_median,f3_median
061ea7d0-Audio_SP16,u,463.396465367674,919.3433210048148,2461.9849218359177
0af9ac47-Audio_SP14,u,484.65174249209815,1057.714179375334,2353.4681350157152
0e6115f2-Audio_SP19,u,403.1577607606431,982.3435833373592,2591.9276888723207
0f786745-Audio_SP20,u,392.6738190139528,819.2969870574867,2501.689533999911
12c532f8-Audio_SP15,u,424.9503410050058,906.9393148913596,2530.405040377488
181d5ce9-Audio_SP21,u,362.0744260890253,928.3703287687084,2581.481093452334
1c403477-Audio_SP13,u,409.0953939649327,951.4957379444772,2364.02377672939
1d46eb6e-Audio_SP18,u,429.3830480766045,891.974585002455,2701.680089723593
2988c6fc-Audio_SP13,u,425.9377099391624,897.3243534150889,2821.0101242215947
2e25304d-Audio_SP12,u,498.54314881731,937.4160717948253,2672.809743502132
30a90cb2-Audio_SP21,u,418.6653028479277,1050.114584733094,2536.305074369514
3361ee02-Audio_SP10,u,394.5243415210237,972.2735361093628,2230.133414932501
34ad326e-Audio_SP7,u,357.0016975366337,964.5957255395532,2584.5947411859947
375a28cd-Audio_SP16,u,412.670403975195,845.450760096715,2368.874861941173
42d56bbf-Audio_SP23,u,339.04996468135096,792.9646724867293,2249.4307823969416
49ae7020-Audio_SP17,u,502.0233756931644,954.9290121085972,2691.118953500301
501e6487-Audio_SP19,u,356.59563758039883,1071.3555951748183,2164.337365022233
514fc6b6-Audio_SP19,u,498.0778283096007,873.3472533816238,3044.1032886179546
51a17262-Audio_SP18,u,441.9585131673136,916.4845745850536,2696.6940507981444
5278b5b9-Audio_SP15,u,356.2899651987251,1138.7376982365845,2608.122617046884
5586979c-Audio_SP18,u,442.3057582097944,1018.2689828587676,2434.8864941546008
5819ce7a-Audio_SP11,u,460.7589559721139,973.7771957354092,2459.979378375984
5a932187-audio_SP16,u,484.37835255644495,1193.1836767731015,2479.2285219368114
63239054-Audio_SP15,u,432.5440503390523,952.351143381052,2610.884175375945
713a2f9b-Audio_SP16,u,373.4504956335479,1017.591613213347,2570.47147548093
7a414497-Audio_SP15,u,409.485653608252,992.7449020340098,2489.759987725442
7aee4437-Audio_SP12,u,461.6247067201473,1097.6118000296494,2557.3224153435967
7c3c98d2-Audio_SP13,u,384.2300811559452,1197.0577195017145,2922.644074667476
7dec1dd7-Audio_SP13,u,416.94373833122927,927.5592837035234,2686.6616936923447
7e277fda-Audio_SP28,u,449.6995008256927,894.0251391319285,2298.5965377165694
85c7895f-Audio_SP16,u,364.2411622643758,998.8292556763474,2610.7901192929867
919b9bc1-Audio_SP14,u,427.4945633732293,1065.2508178791531,2557.8268264148583
9a0c18cb-Audio_SP14,u,399.08562807486175,817.342751467971,2194.65768448671
a1a056ce-Audio_SP11,u,432.05138042671376,901.4936298231002,2770.4801696823065
a452055c-Audio_SP11,u,393.28584273756553,876.7333404203047,2643.494386144698
adad0062-Audio_SP17,u,443.1538767376656,1009.5310479326408,2279.33947894522
c3533b36-Audio_SP16,u,438.7150328647799,870.3360372571398,2217.6121452198804
cafd9c21-Audio_SP27,u,421.91852962558,891.7463465220592,2363.791936740353
d4c363bf-Audio_SP13,u,438.38045946358034,994.4002414132538,2584.7046125260968
dbeec025-Audio_SP13,u,474.67895061699113,978.58161301206,2667.8335191278807
e90f8e4d-Audio_SP22,u,398.3404778959821,794.6830916117715,2665.503724094372
f061152e-Audio_SP12,u,489.5655292741939,1010.567984132161,2209.068153097908
fcd45f4d-Audio_SP21,u,424.5716626359148,804.7419504000968,2520.3761481074143
