source_file,status,n_rows_loaded,f1_20,f2_20,f3_20,f1_80,f2_80,f3_80,delta_f1,delta_f2,delta_f3
061ea7d0-Audio_SP16_tracks_track_features.csv,loaded,3035,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
0af9ac47-Audio_SP14_tracks_track_features.csv,loaded,3608,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
0e6115f2-Audio_SP19_tracks_track_features.csv,loaded,3653,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
0f786745-Audio_SP20_tracks_track_features.csv,loaded,3815,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
12c532f8-Audio_SP15_tracks_track_features.csv,loaded,3405,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
181d5ce9-Audio_SP21_tracks_track_features.csv,loaded,1757,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
1c403477-Audio_SP13_tracks_track_features.csv,loaded,3482,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
1d46eb6e-Audio_SP18_tracks_track_features.csv,loaded,5150,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
2988c6fc-Audio_SP13_tracks_track_features.csv,loaded,2517,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
2e25304d-Audio_SP12_tracks_track_features.csv,loaded,1264,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
30a90cb2-Audio_SP21_tracks_track_features.csv,loaded,3369,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
3361ee02-Audio_SP10_tracks_track_features.csv,loaded,2306,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
34ad326e-Audio_SP7_tracks_track_features.csv,loaded,1503,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
375a28cd-Audio_SP16_tracks_track_features.csv,loaded,3559,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
42d56bbf-Audio_SP23_tracks_track_features.csv,loaded,10244,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
49ae7020-Audio_SP17_tracks_track_features.csv,loaded,2471,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
501e6487-Audio_SP19_tracks_track_features.csv,loaded,5439,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
514fc6b6-Audio_SP19_tracks_track_features.csv,loaded,4354,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
51a17262-Audio_SP18_tracks_track_features.csv,loaded,2816,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
5278b5b9-Audio_SP15_tracks_track_features.csv,loaded,2036,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
5586979c-Audio_SP18_tracks_track_features.csv,loaded,4384,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
5819ce7a-Audio_SP11_tracks_track_features.csv,loaded,4047,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
5a932187-audio_SP16_tracks_track_features.csv,loaded,4124,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
63239054-Audio_SP15_tracks_track_features.csv,loaded,2770,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
713a2f9b-Audio_SP16_tracks_track_features.csv,loaded,3358,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
7a414497-Audio_SP15_tracks_track_features.csv,loaded,2273,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
7aee4437-Audio_SP12_tracks_track_features.csv,loaded,1710,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
7c3c98d2-Audio_SP13_tracks_track_features.csv,loaded,4334,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
7dec1dd7-Audio_SP13_tracks_track_features.csv,loaded,2399,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
7e277fda-Audio_SP28_tracks_track_features.csv,loaded,3531,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
85c7895f-Audio_SP16_tracks_track_features.csv,loaded,5987,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
919b9bc1-Audio_SP14_tracks_track_features.csv,loaded,2220,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
9a0c18cb-Audio_SP14_tracks_track_features.csv,loaded,2121,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
