acoustic_id,status,metadata_row,metadata_id
061ea7d0-Audio_SP16,matched,20,061ea7d0-Audio_SP16
0af9ac47-Audio_SP14,matched,16,0af9ac47-Audio_SP14
0e6115f2-Audio_SP19,matched,38,0e6115f2-Audio_SP19
0f786745-Audio_SP20,matched,25,0f786745-Audio_SP20
12c532f8-Audio_SP15,matched,0,12c532f8-Audio_SP15
181d5ce9-Audio_SP21,matched,13,181d5ce9-Audio_SP21
1c403477-Audio_SP13,matched,35,1c403477-Audio_SP13
1d46eb6e-Audio_SP18,matched,41,1d46eb6e-Audio_SP18
2988c6fc-Audio_SP13,matched,36,2988c6fc-Audio_SP13
2e25304d-Audio_SP12,matched,26,2e25304d-Audio_SP12
30a90cb2-Audio_SP21,matched,24,30a90cb2-Audio_SP21
3361ee02-Audio_SP10,matched,21,3361ee02-Audio_SP10
34ad326e-Audio_SP7,matched,8,34ad326e-Audio_SP7
375a28cd-Audio_SP16,matched,6,375a28cd-Audio_SP16
42d56bbf-Audio_SP23,matched,11,42d56bbf-Audio_SP23
49ae7020-Audio_SP17,matched,3,49ae7020-Audio_SP17
501e6487-Audio_SP19,matched,32,501e6487-Audio_SP19
514fc6b6-Audio_SP19,matched,1,514fc6b6-Audio_SP19
51a17262-Audio_SP18,matched,14,51a17262-Audio_SP18
5278b5b9-Audio_SP15,matched,33,5278b5b9-Audio_SP15
5586979c-Audio_SP18,matched,37,5586979c-Audio_SP18
5819ce7a-Audio_SP11,matched,34,5819ce7a-Audio_SP11
5a932187-audio_SP16,matched,10,5a932187-audio_SP16
63239054-Audio_SP15,matched,18,63239054-Audio_SP15
713a2f9b-Audio_SP16,matched,22,713a2f9b-Audio_SP16
7a414497-Audio_SP15,matched,9,7a414497-Audio_SP15
7aee4437-Audio_SP12,matched,2,7aee4437-Audio_SP12
7c3c98d2-Audio_SP13,matched,30,7c3c98d2-Audio_SP13
7dec1dd7-Audio_SP13,matched,17,7dec1dd7-Audio_SP13
7e277fda-Audio_SP28,matched,42,7e277fda-Audio_SP28
85c7895f-Audio_SP16,matched,31,85c7895f-Audio_SP16
919b9bc1-Audio_SP14,matched,27,919b9bc1-Audio_SP14
9a0c18cb-Audio_SP14,matched,23,9a0c18cb-Audio_SP14
a1a056ce-Audio_SP11,matched,4,a1a056ce-Audio_SP11
a452055c-Audio_SP11,matched,29,a452055c-Audio_SP11
adad0062-Audio_SP17,matched,5,adad0062-Audio_SP17
c3533b36-Audio_SP16,matched,19,c3533b36-Audio_SP16
cafd9c21-Audio_SP27,matched,40,cafd9c21-Audio_SP27
d4c363bf-Audio_SP13,matched,7,d4c363bf-Audio_SP13
dbeec025-Audio_SP13,matched,39,dbeec025-Audio_SP13
e90f8e4d-Audio_SP22,matched,12,e90f8e4d-Audio_SP22
f061152e-Audio_SP12,matched,15,f061152e-Audio_SP12
fcd45f4d-Audio_SP21,matched,28,fcd45f4d-Audio_SP21
