matrix,predictor,coefficient,standard_error_ols,t_statistic,p_two_sided_permutation,p_expected_direction,expected_sign,q_global_two_sided,q_within_predictor
All vowels,same_gender,0.09941372984635444,0.008455214364445601,11.757682958860485,9.999000099990002e-05,9.999000099990002e-05,positive,0.0013998600139986002,0.00046662000466620004
/a/,same_gender,0.1348397877474466,0.011712316405215268,11.512648999766181,0.00019998000199980003,0.00019998000199980003,positive,0.0013998600139986002,0.00046662000466620004
All except /u/,same_gender,0.11228157693336294,0.00896446412616126,12.525185594271976,0.00019998000199980003,0.00019998000199980003,positive,0.0013998600139986002,0.00046662000466620004
/o/,same_gender,0.09282102684265305,0.0100719424286452,9.215801966725362,0.0004999500049995,0.0004999500049995,positive,0.0024497550244975503,0.0008165850081658501
/i/,same_gender,0.11741448023747068,0.01165901170909929,10.070706091309129,0.0005999400059994001,0.0005999400059994001,positive,0.0024497550244975503,0.0008165850081658501
/e/,same_gender,0.10405101290588134,0.01167918294421962,8.909100354265734,0.0006999300069993001,0.0006999300069993001,positive,0.0024497550244975503,0.0008165850081658501
/u/,same_gender,0.047942341498320606,0.0093224890690705,5.142654621862775,0.025597440255974404,0.0212978702129787,positive,0.06903059694030597,0.025597440255974404
/i/,income_distance,-0.08910362247377737,0.020956223998209744,-4.251893016670816,0.026297370262973702,0.0226977302269773,negative,0.06903059694030597,0.1840815918408159
/i/,same_nationality,-0.03447662388723008,0.013373269459863292,-2.5780250663985735,0.1376862313768623,0.944905509449055,positive,0.2876712328767123,0.3069193080691931
All vowels,same_nationality,-0.02440678236898991,0.009698408652286467,-2.5165759913855394,0.1391860813918608,0.9423057694230577,positive,0.2876712328767123,0.3069193080691931
All except /u/,same_nationality,-0.02411292229216828,0.010282534859182676,-2.345036765971629,0.1693830616938306,0.9288071192880712,positive,0.2876712328767123,0.3069193080691931
/u/,same_nationality,-0.02558222267627628,0.010693201230770645,-2.3923820495083494,0.17538246175382463,0.918008199180082,positive,0.2876712328767123,0.3069193080691931
All except /u/,income_distance,-0.040995262822425535,0.016112971059556815,-2.54423983453447,0.1780821917808219,0.09579042095790422,negative,0.2876712328767123,0.416983301669833
/a/,income_distance,-0.050200501695130725,0.021052035305362912,-2.384591369288763,0.21127887211278873,0.11138886111388861,negative,0.31273747625237475,0.416983301669833
/o/,same_nationality,-0.023235005169320828,0.011552848855737869,-2.011192690171902,0.23057694230576942,0.8932106789321068,positive,0.31273747625237475,0.32280771922807716
All vowels,income_distance,-0.03452251778007162,0.01519763172001234,-2.271572203885698,0.23827617238276172,0.12388761123887611,negative,0.31273747625237475,0.416983301669833
/e/,same_nationality,-0.019682050865864952,0.013396406529225002,-1.469203761689933,0.3715628437156284,0.8134186581341866,positive,0.445388794453888,0.4206579342065793
/e/,income_distance,-0.03278387360301489,0.020992480323535522,-1.561696050097499,0.38176182381761825,0.18708129187081293,negative,0.445388794453888,0.5344665533446655
/a/,same_nationality,-0.019058009246257272,0.013434411697509278,-1.4185964875403216,0.4206579342065793,0.7803219678032197,positive,0.4649377167546403,0.4206579342065793
/u/,income_distance,-0.008631537610656017,0.016756494806487846,-0.5151159422264151,0.795020497950205,0.385961403859614,negative,0.813918608139186,0.813918608139186
/o/,income_distance,0.008106946482220788,0.018103582610439588,0.4478089589596397,0.813918608139186,0.5778422157784222,negative,0.813918608139186,0.813918608139186
