matrix,social_variable,test_type,expected_direction,n_speakers,n_pairs,n_within_pairs,n_between_pairs,correlation,mean_within_overlap,mean_between_overlap,within_minus_between,p_two_sided,p_expected_direction,q_global_two_sided,q_global_expected_direction,q_within_variable
/a/,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.39813298028048477,0.38687357225213165,0.24165598914365877,0.14521758310847288,9.999000099990002e-05,9.999000099990002e-05,0.0009332400093324001,0.0009332400093324001,0.00023331000233310002
All vowels,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.40074587787996724,0.4356656624085512,0.329556836388215,0.10610882602033622,9.999000099990002e-05,9.999000099990002e-05,0.0009332400093324001,0.0009332400093324001,0.00023331000233310002
All except /u/,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.4199395381236937,0.423027973812249,0.3039268675196746,0.11910110629257437,9.999000099990002e-05,9.999000099990002e-05,0.0009332400093324001,0.0009332400093324001,0.00023331000233310002
/o/,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.33125749309714536,0.42168843569347786,0.32017510818938416,0.1015133275040937,0.00029997000299970003,0.00029997000299970003,0.0020997900209979003,0.0020997900209979003,0.0005249475052494751
/i/,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.32540028904967355,0.48923799650415284,0.3707305520772934,0.11850744442685945,0.0004999500049995,0.0004999500049995,0.0027997200279972004,0.0027997200279972004,0.0006999300069993001
/e/,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.31697291568952035,0.3943118907992336,0.2831458206683623,0.11116607013087132,0.0005999400059994001,0.0005999400059994001,0.0027997200279972004,0.0027997200279972004,0.0006999300069993001
/i/,Income distance,Ordinal-distance Spearman QAP,positive,43,903,,,0.15415100157353717,,,,0.0117988201179882,0.010998900109989001,0.04584541545845416,0.041995800419958006,0.0825917408259174
/u/,Same gender,Same-category Pearson QAP,positive,43,903,573.0,330.0,0.20026224862813066,0.48621641679376,0.43207671186237623,0.05413970493138376,0.013098690130986902,0.011998800119988001,0.04584541545845416,0.041995800419958006,0.013098690130986902
/i/,Same income category,Same-category Pearson QAP,positive,43,903,236.0,667.0,0.08658962293883671,0.4714594034446498,0.4368966041520975,0.03456279929255229,0.016798320167983202,0.016798320167983202,0.05226144052261441,0.05226144052261441,0.11758824117588242
All vowels,Same income category,Same-category Pearson QAP,positive,43,903,236.0,667.0,0.05211639953295925,0.40805981987929446,0.39293562680164507,0.015124193077649395,0.1255874412558744,0.08159184081591841,0.3137552911375529,0.1941139219411392,0.29490384294903843
