vowel,k,silhouette_score
a,2,0.43733860109139455
a,3,0.48193691863523297
a,4,0.4078664405151322
a,5,0.3987840354411648
a,6,0.3620865442625446
a,7,0.38816026147198185
a,8,0.39621613893247376
e,2,0.390462301333861
e,3,0.3845572445035545
e,4,0.36644132716510736
e,5,0.3542252470826603
e,6,0.36335714666481994
e,7,0.3768285167097775
e,8,0.38278743279685284
i,2,0.45853221125574994
i,3,0.3207608391420002
i,4,0.3130909267567887
i,5,0.2861289243559803
i,6,0.2921582723677548
i,7,0.32480031939516985
i,8,0.3327169816079973
o,2,0.5458698035733771
o,3,0.42638928540685783
o,4,0.3701273027487446
o,5,0.37255603432387707
o,6,0.4003083965263934
o,7,0.38511850543504855
o,8,0.35711989055308613
u,2,0.31650534681627407
u,3,0.370155274824714
u,4,0.3243087286970224
u,5,0.3484667174559615
u,6,0.3685024707040585
u,7,0.36829115361994536
u,8,0.38872660069589027
