audio,vowel_norm,f1_median,f2_median,chosen_k,cluster
061ea7d0-Audio_SP16,a,1.200311446857684,-0.1794432907037287,3,1
0af9ac47-Audio_SP14,a,0.814964158423453,-0.2296651120850671,3,3
0e6115f2-Audio_SP19,a,1.1355350433879698,-0.264493119598989,3,1
0f786745-Audio_SP20,a,0.8409881770973177,-0.929226025257658,3,2
12c532f8-Audio_SP15,a,0.9599031301541406,-0.1352558400682151,3,3
181d5ce9-Audio_SP21,a,0.9988528887605652,-0.1675317872185974,3,1
1c403477-Audio_SP13,a,1.154132842796521,-0.2068922640461616,3,1
1d46eb6e-Audio_SP18,a,1.1364308240595218,-0.2380149733567236,3,1
2988c6fc-Audio_SP13,a,1.0845738291358205,-0.4036834676551037,3,1
2e25304d-Audio_SP12,a,0.7726343753289093,-0.2513311852309807,3,3
30a90cb2-Audio_SP21,a,0.8906691583603321,-0.4035975947256068,3,3
3361ee02-Audio_SP10,a,0.9251232422412784,-0.2726438484813144,3,3
34ad326e-Audio_SP7,a,0.9227013283244528,-0.2800781689616972,3,3
375a28cd-Audio_SP16,a,0.8907407409535927,-0.5342646260791186,3,3
42d56bbf-Audio_SP23,a,1.3864507385929108,-0.2546265474199281,3,1
49ae7020-Audio_SP17,a,0.8731588141864683,-0.3505680073565164,3,3
501e6487-Audio_SP19,a,0.9712565328920132,-0.1810892963106851,3,3
514fc6b6-Audio_SP19,a,1.0710764425711372,-0.2919180405999558,3,1
51a17262-Audio_SP18,a,1.208008994146446,-0.0551424632571089,3,1
5278b5b9-Audio_SP15,a,1.0833885111419588,-0.3861598026301285,3,1
5586979c-Audio_SP18,a,1.0603002224018327,-0.2049680074310724,3,1
5819ce7a-Audio_SP11,a,1.216029711611475,-0.2464549444468148,3,1
5a932187-audio_SP16,a,0.9063095767228112,-0.1070607522021374,3,3
63239054-Audio_SP15,a,1.005161681286642,-0.2845969026126776,3,1
713a2f9b-Audio_SP16,a,0.9589375450848052,-0.2526189795748628,3,3
7a414497-Audio_SP15,a,0.8874472319491383,-0.3001636756800622,3,3
