cluster,vowel,chosen_k,n_speakers,f1_median_mean,f2_median_mean,f1_median_sd,f2_median_sd,speakers
1,a,3,20,1.1300900442500463,-0.23981877882551647,0.10061259984889906,0.08087292198504244,061ea7d0-Audio_SP16; 0e6115f2-Audio_SP19; 181d5ce9-Audio_SP21; 1c403477-Audio_SP13; 1d46eb6e-Audio_SP18; 2988c6fc-Audio_SP13; 42d56bbf-Audio_SP23; 514fc6b6-Audio_SP19; 51a17262-Audio_SP18; 5278b5b9-Audio_SP15; 5586979c-Audio_SP18; 5819ce7a-Audio_SP11; 63239054-Audio_SP15; 7dec1dd7-Audio_SP13; 85c7895f-Audio_SP16; 9a0c18cb-Audio_SP14; a452055c-Audio_SP11; c3533b36-Audio_SP16; cafd9c21-Audio_SP27; d4c363bf-Audio_SP13
2,a,3,2,0.8618132619454538,-0.9197141670221255,0.02945111742980461,0.013451798920060232,0f786745-Audio_SP20; 7e277fda-Audio_SP28
3,a,3,21,0.8863522845934729,-0.2693786385131722,0.061908876983871194,0.109995172668186,0af9ac47-Audio_SP14; 12c532f8-Audio_SP15; 2e25304d-Audio_SP12; 30a90cb2-Audio_SP21; 3361ee02-Audio_SP10; 34ad326e-Audio_SP7; 375a28cd-Audio_SP16; 49ae7020-Audio_SP17; 501e6487-Audio_SP19; 5a932187-audio_SP16; 713a2f9b-Audio_SP16; 7a414497-Audio_SP15; 7aee4437-Audio_SP12; 7c3c98d2-Audio_SP13; 919b9bc1-Audio_SP14; a1a056ce-Audio_SP11; adad0062-Audio_SP17; dbeec025-Audio_SP13; e90f8e4d-Audio_SP22; f061152e-Audio_SP12; fcd45f4d-Audio_SP21
1,e,3,6,-0.47760224650314415,0.547422940815767,0.06680446242251288,0.23683223858409552,12c532f8-Audio_SP15; 34ad326e-Audio_SP7; 7c3c98d2-Audio_SP13; 7dec1dd7-Audio_SP13; 85c7895f-Audio_SP16; f061152e-Audio_SP12
2,e,3,3,-0.11911527423638134,0.9318443638220466,0.11518884410177746,0.1796481903070644,0f786745-Audio_SP20; 375a28cd-Audio_SP16; 7e277fda-Audio_SP28
3,e,3,34,-0.26567569218573817,0.5844628544793314,0.0696167308881401,0.10964435832670653,061ea7d0-Audio_SP16; 0af9ac47-Audio_SP14; 0e6115f2-Audio_SP19; 181d5ce9-Audio_SP21; 1c403477-Audio_SP13; 1d46eb6e-Audio_SP18; 2988c6fc-Audio_SP13; 2e25304d-Audio_SP12; 30a90cb2-Audio_SP21; 3361ee02-Audio_SP10; 42d56bbf-Audio_SP23; 49ae7020-Audio_SP17; 501e6487-Audio_SP19; 514fc6b6-Audio_SP19; 51a17262-Audio_SP18; 5278b5b9-Audio_SP15; 5586979c-Audio_SP18; 5819ce7a-Audio_SP11; 5a932187-audio_SP16; 63239054-Audio_SP15; 713a2f9b-Audio_SP16; 7a414497-Audio_SP15; 7aee4437-Audio_SP12; 919b9bc1-Audio_SP14; 9a0c18cb-Audio_SP14; a1a056ce-Audio_SP11; a452055c-Audio_SP11; adad0062-Audio_SP17; c3533b36-Audio_SP16; cafd9c21-Audio_SP27; d4c363bf-Audio_SP13; dbeec025-Audio_SP13; e90f8e4d-Audio_SP22; fcd45f4d-Audio_SP21
1,i,8,10,-0.9303670275930391,1.1889978005917752,0.06025851134374032,0.0461280767878065,0e6115f2-Audio_SP19; 1c403477-Audio_SP13; 42d56bbf-Audio_SP23; 501e6487-Audio_SP19; 5278b5b9-Audio_SP15; 713a2f9b-Audio_SP16; 7aee4437-Audio_SP12; a1a056ce-Audio_SP11; d4c363bf-Audio_SP13; e90f8e4d-Audio_SP22
2,i,8,1,-0.8509219794606684,0.9902565787614668,,,30a90cb2-Audio_SP21
3,i,8,8,-1.0851212194444857,1.1547961563369102,0.03706924252758117,0.037264004805740235,061ea7d0-Audio_SP16; 5819ce7a-Audio_SP11; 5a932187-audio_SP16; 7e277fda-Audio_SP28; 85c7895f-Audio_SP16; 919b9bc1-Audio_SP14; adad0062-Audio_SP17; fcd45f4d-Audio_SP21
4,i,8,3,-1.2073681513817298,1.0110701397126283,0.12578131950825916,0.0832201917177771,3361ee02-Audio_SP10; 375a28cd-Audio_SP16; 9a0c18cb-Audio_SP14
