vowel,social_variable,cluster,category,observed,expected,std_residual,row_percent,column_percent,total_percent
a,Part,1,Part1,5,4.186046511627907,0.39783003135777606,50.0,27.77777777777778,11.627906976744185
a,Part,1,Part2,5,5.813953488372093,-0.33756997551928836,50.0,20.0,11.627906976744185
a,Part,2,Part1,0,0.8372093023255814,-0.914991421995628,0.0,0.0,0.0
a,Part,2,Part2,2,1.1627906976744187,0.7763959670647564,100.0,8.0,4.651162790697675
a,Part,3,Part1,13,12.976744186046512,0.006455779266529437,41.935483870967744,72.22222222222221,30.23255813953488
a,Part,3,Part2,18,18.023255813953487,-0.005477910356647358,58.06451612903226,72.0,41.86046511627907
e,Part,1,Part1,6,8.790697674418604,-0.9412416106700233,28.57142857142857,33.33333333333333,13.953488372093023
e,Part,1,Part2,15,12.209302325581396,0.798669990767666,71.42857142857143,60.0,34.883720930232556
e,Part,2,Part1,12,9.209302325581396,0.9196009797434055,54.54545454545454,66.66666666666666,27.906976744186046
e,Part,2,Part2,10,12.790697674418604,-0.780307306514826,45.45454545454545,40.0,23.25581395348837
i,Part,1,Part1,6,3.7674418604651163,1.150216247503343,66.66666666666666,33.33333333333333,13.953488372093023
i,Part,1,Part2,3,5.232558139534884,-0.97599085012867,33.33333333333333,12.0,6.976744186046512
i,Part,2,Part1,12,14.232558139534884,-0.5917813771642474,35.294117647058826,66.66666666666666,27.906976744186046
i,Part,2,Part2,22,19.767441860465116,0.5021431497273039,64.70588235294117,88.0,51.162790697674424
o,Part,1,Part1,1,2.511627906976744,-0.9538218151860924,16.666666666666664,5.555555555555555,2.3255813953488373
o,Part,1,Part2,5,3.488372093023256,0.8093446482740975,83.33333333333334,20.0,11.627906976744185
o,Part,2,Part1,17,15.488372093023257,0.38409797211442653,45.94594594594595,94.44444444444444,39.53488372093023
o,Part,2,Part2,20,21.511627906976745,-0.3259179368665353,54.054054054054056,80.0,46.51162790697674
u,Part,1,Part1,2,1.255813953488372,0.6640776601223364,66.66666666666666,11.11111111111111,4.651162790697675
u,Part,1,Part2,1,1.744186046511628,-0.5634885800483993,33.33333333333333,4.0,2.3255813953488373
u,Part,2,Part1,3,2.0930232558139537,0.6269156688215356,60.0,16.666666666666664,6.976744186046512
u,Part,2,Part2,2,2.9069767441860463,-0.5319555847869692,40.0,8.0,4.651162790697675
u,Part,3,Part1,2,2.0930232558139537,-0.06429904295605507,40.0,11.11111111111111,4.651162790697675
u,Part,3,Part2,3,2.9069767441860463,0.05455954715763798,60.0,12.0,6.976744186046512
u,Part,4,Part1,0,0.4186046511627907,-0.6469966392206304,0.0,0.0,0.0
u,Part,4,Part2,1,0.5813953488372093,0.5489948531973767,100.0,4.0,2.3255813953488373
u,Part,5,Part1,0,1.255813953488372,-1.1206310514564426,0.0,0.0,0.0
u,Part,5,Part2,3,1.744186046511628,0.9508869788316738,100.0,12.0,6.976744186046512
u,Part,6,Part1,3,2.9302325581395348,0.040756957296961195,42.857142857142854,16.666666666666664,6.976744186046512
u,Part,6,Part2,4,4.069767441860465,-0.03458342506225416,57.14285714285714,16.0,9.30232558139535
u,Part,7,Part1,6,5.023255813953488,0.4358009644552832,50.0,33.33333333333333,13.953488372093023
u,Part,7,Part2,6,6.976744186046512,-0.36978938065676203,50.0,24.0,13.953488372093023
u,Part,8,Part1,2,2.9302325581395348,-0.5434260972928149,28.57142857142857,11.11111111111111,4.651162790697675
u,Part,8,Part2,5,4.069767441860465,0.4611123341633879,71.42857142857143,20.0,11.627906976744185
a,Sex,1,F,9,2.3255813953488373,4.376708968545754,90.0,90.0,20.930232558139537
a,Sex,1,M,1,7.674418604651163,-2.409298992436222,10.0,3.0303030303030303,2.3255813953488373
a,Sex,2,F,0,0.46511627906976744,-0.6819943394704735,0.0,0.0,0.0
a,Sex,2,M,2,1.5348837209302326,0.37542552788913885,100.0,6.0606060606060606,4.651162790697675
a,Sex,3,F,1,7.209302325581396,-2.3125769182885034,3.225806451612903,10.0,2.3255813953488373
a,Sex,3,M,30,23.790697674418606,1.273031695551613,96.7741935483871,90.9090909090909,69.76744186046511
e,Sex,1,F,0,4.883720930232558,-2.209914235945042,0.0,0.0,0.0
e,Sex,1,M,21,16.11627906976744,1.2165177489061993,100.0,63.63636363636363,48.837209302325576
e,Sex,2,F,10,5.116279069767442,2.1591048180257455,45.45454545454545,100.0,23.25581395348837
e,Sex,2,M,12,16.88372093023256,-1.1885480848780454,54.54545454545454,36.36363636363637,27.906976744186046
i,Sex,1,F,7,2.0930232558139537,3.3917745159318984,77.77777777777779,70.0,16.27906976744186
i,Sex,1,M,2,6.906976744186046,-1.867110420760011,22.22222222222222,6.0606060606060606,4.651162790697675
i,Sex,2,F,3,7.906976744186046,-1.7450535918142152,8.823529411764707,30.0,6.976744186046512
i,Sex,2,M,31,26.093023255813954,0.9606203863955288,91.17647058823529,93.93939393939394,72.09302325581395
o,Sex,1,F,5,1.3953488372093024,3.051559519962862,83.33333333333334,50.0,11.627906976744185
o,Sex,1,M,1,4.604651162790698,-1.6798282293027507,16.666666666666664,3.0303030303030303,2.3255813953488373
o,Sex,2,F,5,8.604651162790697,-1.2288435898014451,13.513513513513514,50.0,11.627906976744185
o,Sex,2,M,32,28.3953488372093,0.6764561326895964,86.48648648648648,96.96969696969697,74.4186046511628
u,Sex,1,F,2,0.6976744186046512,1.5591689298911726,66.66666666666666,20.0,4.651162790697675
u,Sex,1,M,1,2.302325581395349,-0.858294247760512,33.33333333333333,3.0303030303030303,2.3255813953488373
u,Sex,2,F,1,1.1627906976744187,-0.15096588248481382,20.0,10.0,2.3255813953488373
u,Sex,2,M,4,3.8372093023255816,0.08310398319305205,80.0,12.121212121212121,9.30232558139535
u,Sex,3,F,2,1.1627906976744187,0.7763959670647564,40.0,20.0,4.651162790697675
u,Sex,3,M,3,3.8372093023255816,-0.4273919135642682,60.0,9.090909090909092,6.976744186046512
