config_id,model,feature_set,fold,train_tokens,test_tokens,train_speakers,test_speakers,accuracy,balanced_accuracy,macro_f1
Majority class__F1_F2,Majority class,F1_F2,1,111294,27299,35,8,0.2760906992930144,0.2,0.08654265702147204
Majority class__F1_F2,Majority class,F1_F2,2,110505,28088,34,9,0.2775206493876389,0.2,0.08689351503497478
Majority class__F1_F2,Majority class,F1_F2,3,110505,28088,34,9,0.31155653659925947,0.2,0.0950188658758381
Majority class__F1_F2,Majority class,F1_F2,4,111885,26708,35,8,0.2856447506365134,0.2,0.08887206220694878
Majority class__F1_F2,Majority class,F1_F2,5,110183,28410,34,9,0.2800774375219993,0.2,0.08751890450133362
Nearest centroid__F1_F2,Nearest centroid,F1_F2,1,111294,27299,35,8,0.5674200520165574,0.6296611921515776,0.5468461900877314
Nearest centroid__F1_F2,Nearest centroid,F1_F2,2,110505,28088,34,9,0.6554400455710624,0.6661133284275593,0.6137305834196608
Nearest centroid__F1_F2,Nearest centroid,F1_F2,3,110505,28088,34,9,0.7041797208772429,0.6864581829321693,0.6659011962628992
Nearest centroid__F1_F2,Nearest centroid,F1_F2,4,111885,26708,35,8,0.6706230342968399,0.6837897948829406,0.6354650076561881
Nearest centroid__F1_F2,Nearest centroid,F1_F2,5,110183,28410,34,9,0.7429074269623372,0.7263194098851341,0.6959066980984089
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,1,111294,27299,35,8,0.5718158174292098,0.6299492867291754,0.5503292075966193
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,2,110505,28088,34,9,0.6561876958131586,0.6638509291319299,0.6133375414528123
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,3,110505,28088,34,9,0.7132939333523213,0.6928931318330603,0.6743635307996764
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,4,111885,26708,35,8,0.6729069941590534,0.6801778059295784,0.6357326885439679
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,5,110183,28410,34,9,0.7381203801478353,0.7224649507617669,0.6913783399991826
