config_id,model,feature_set,n_features,n_oof_tokens,n_oof_speakers,accuracy_oof,balanced_accuracy_oof,macro_f1_oof,speaker_macro_accuracy,speaker_macro_balanced_accuracy,speaker_macro_balanced_ci_low,speaker_macro_balanced_ci_high,speaker_macro_f1,fold_balanced_accuracy_mean,fold_balanced_accuracy_sd,fold_macro_f1_mean,fold_macro_f1_sd,status
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,12,138593,43,0.6709429769180262,0.6878186445973039,0.6346555497314404,0.678192491407889,0.6847053976227668,0.6666978046687536,0.7021180328550249,0.6414594298169658,0.6855388753834375,0.02944801698320826,0.635232661647055,0.04337772154614956,OK
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,12,138593,43,0.7550237024957971,0.695137720785812,0.7007409612810338,0.7595911650146377,0.684191255357427,0.6643790396187327,0.7047129851464189,0.6861886055990449,0.6931536971922847,0.024118266088053085,0.6984732363160506,0.024056924756014564,OK
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,3,138593,43,0.6771121196597231,0.6847821930346127,0.6380253705738135,0.6856026916663442,0.6832925582547186,0.6653790230426437,0.7008097006647042,0.6464412285483216,0.6824929731809892,0.026839367860434084,0.638363390288451,0.04574995432746275,OK
Logistic regression__F1_F2,Logistic regression,F1_F2,2,138593,43,0.6750918156039627,0.6824225719218971,0.6361132004954518,0.6870012427632347,0.6822988596474638,0.6634438995756403,0.7009246389261832,0.6454230692682216,0.6798309487072258,0.02938076126128174,0.6361357004861175,0.052067172327305906,OK
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,3,138593,43,0.6994869870772694,0.6861566941043937,0.6579951448663259,0.7068144499301576,0.6815173037837052,0.6634806339393959,0.6995493689427453,0.6591999672175841,0.6835383680067252,0.023197483382248613,0.6577418329745279,0.04125267951465776,OK
Nearest centroid__F1_F2,Nearest centroid,F1_F2,2,138593,43,0.6688360884027332,0.6810624192736663,0.6315800778146,0.6813210151122039,0.6811419139761525,0.6606114242087529,0.7015847101353674,0.6413427026748206,0.6784683816558761,0.035059465032099855,0.6315699351049776,0.05663343004278773,OK
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,2,138593,43,0.6711594380668576,0.6802801700530949,0.6327943118448613,0.6822624714312567,0.6799536054463403,0.6608883263774791,0.6991661625009583,0.6411164385855945,0.6778672208771022,0.034324405171457295,0.6330282616784517,0.05555967073126126,OK
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,12,138593,43,0.6645429422842424,0.6793412742190815,0.6280592579793922,0.6748270563920443,0.6794623851869994,0.65975650625988,0.6979265034219203,0.6363066829980241,0.6769427670560634,0.035013785639048785,0.628142061235206,0.05227295099451251,OK
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,3,138593,43,0.6695937024236434,0.6786588621562506,0.6305156909170183,0.677542807181512,0.6777065367482809,0.6591673794642521,0.6954778562106403,0.6381616240690718,0.676652939576939,0.036453464346455376,0.6311578489463743,0.0555332723840685,OK
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,3,138593,43,0.6473920039251622,0.6586295557650261,0.611052935940535,0.6595494404569735,0.6581475937583693,0.6368433325784469,0.6797959156442607,0.6194946750123282,0.6557587395423561,0.03567484654722461,0.6107074472183255,0.059432405193245615,OK
Random forest__F1_F2_F3,Random forest,F1_F2_F3,3,138593,43,0.7265157691946924,0.6570405121578082,0.6619919112606222,0.7319927865508865,0.648670011213241,0.6304270470869817,0.6667948128905395,0.652162303505593,0.6547680166059187,0.021214150885094266,0.6589648200040795,0.016888817150866126,OK
Majority class__F1_F2,Majority class,F1_F2,2,138593,43,0.28622657709985355,0.2,0.08901280138223513,0.2883204401732413,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.08937123433734859,0.2,0.0,0.08896920092811347,0.0034967066253205185,OK
