fold,vowel,train_tokens,test_tokens,test_percent_of_vowel,train_speakers,test_speakers,speaker_overlap_count
1,a,32132,7537,18.99972270538708,35,8,0
1,e,29555,7104,19.378597343080827,35,8,0
1,i,17804,4537,20.307953985945122,35,8,0
1,o,26654,6565,19.762786357205215,35,8,0
1,u,5149,1556,23.20656226696495,35,8,0
2,a,31874,7795,19.650104615694875,34,9,0
2,e,29188,7471,20.37971575874956,34,9,0
2,i,17990,4351,19.475403965802784,34,9,0
2,o,25999,7220,21.734549504801468,34,9,0
2,u,5454,1251,18.65771812080537,34,9,0
3,a,30918,8751,22.060046887998183,34,9,0
3,e,29291,7368,20.09874792001964,34,9,0
3,i,17961,4380,19.605210151738955,34,9,0
3,o,26893,6326,19.043318582738795,34,9,0
3,u,5442,1263,18.83668903803132,34,9,0
4,a,32040,7629,19.23164183619451,35,8,0
4,e,29501,7158,19.525900870181946,35,8,0
4,i,17829,4512,20.196052101517388,35,8,0
4,o,27122,6097,18.35395406243415,35,8,0
4,u,5393,1312,19.567486950037285,35,8,0
5,a,31712,7957,20.058483954725354,34,9,0
5,e,29101,7558,20.61703810796803,34,9,0
5,i,17780,4561,20.415379794995747,34,9,0
5,o,26208,7011,21.105391492820374,34,9,0
5,u,5382,1323,19.731543624161073,34,9,0
