config_id,model,feature_set,n_features,n_oof_tokens,n_oof_speakers,accuracy_oof,balanced_accuracy_oof,macro_f1_oof,speaker_macro_accuracy,speaker_macro_balanced_accuracy,speaker_macro_balanced_ci_low,speaker_macro_balanced_ci_high,speaker_macro_f1,fold_balanced_accuracy_mean,fold_balanced_accuracy_sd,fold_macro_f1_mean,fold_macro_f1_sd,status
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,3,138593,43,0.6771121196597231,0.6847821930346127,0.6380253705738135,0.6856026916663442,0.6832925582547186,0.6653790230426437,0.7008097006647042,0.6464412285483216,0.6824929731809892,0.026839367860434084,0.638363390288451,0.04574995432746275,OK
Logistic regression__F1_F2,Logistic regression,F1_F2,2,138593,43,0.6750918156039627,0.6824225719218971,0.6361132004954518,0.6870012427632347,0.6822988596474638,0.6634438995756403,0.7009246389261832,0.6454230692682216,0.6798309487072258,0.02938076126128174,0.6361357004861175,0.052067172327305906,OK
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,3,138593,43,0.6994869870772694,0.6861566941043937,0.6579951448663259,0.7068144499301576,0.6815173037837052,0.6634806339393959,0.6995493689427453,0.6591999672175841,0.6835383680067252,0.023197483382248613,0.6577418329745279,0.04125267951465776,OK
Nearest centroid__F1_F2,Nearest centroid,F1_F2,2,138593,43,0.6688360884027332,0.6810624192736663,0.6315800778146,0.6813210151122039,0.6811419139761525,0.6606114242087529,0.7015847101353674,0.6413427026748206,0.6784683816558761,0.035059465032099855,0.6315699351049776,0.05663343004278773,OK
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,2,138593,43,0.6711594380668576,0.6802801700530949,0.6327943118448613,0.6822624714312567,0.6799536054463403,0.6608883263774791,0.6991661625009583,0.6411164385855945,0.6778672208771022,0.034324405171457295,0.6330282616784517,0.05555967073126126,OK
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,6,138593,43,0.6741610326639874,0.6819872799539992,0.6357679475761648,0.6829591867684585,0.6793395217374346,0.6623993018759533,0.6952394955822827,0.642840727069114,0.6792517978556509,0.02429843358346422,0.6358231823290433,0.043309659531816556,OK
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,3,138593,43,0.6695937024236434,0.6786588621562506,0.6305156909170183,0.677542807181512,0.6777065367482809,0.6591673794642521,0.6954778562106403,0.6381616240690718,0.676652939576939,0.036453464346455376,0.6311578489463743,0.0555332723840685,OK
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,6,138593,43,0.6684175968483257,0.6739873048290811,0.6289372121675064,0.6780273276132844,0.6722383058345972,0.654293607371139,0.689168393624671,0.6357776422830752,0.6714397421236296,0.03047040465659602,0.6289562785380655,0.04807675961375626,OK
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,3,138593,43,0.6473920039251622,0.6586295557650261,0.611052935940535,0.6595494404569735,0.6581475937583693,0.6368433325784469,0.6797959156442607,0.6194946750123282,0.6557587395423561,0.03567484654722461,0.6107074472183255,0.059432405193245615,OK
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,6,138593,43,0.742743139985425,0.6692874176719986,0.6779755233342339,0.7462842104880686,0.6568893483745609,0.6384258950716073,0.675898000185409,0.6614600342443354,0.6668653593649306,0.024417236656902184,0.6736059215477712,0.016081381417920673,OK
Random forest__F1_F2_F3,Random forest,F1_F2_F3,3,138593,43,0.7265157691946924,0.6570405121578082,0.6619919112606222,0.7319927865508865,0.648670011213241,0.6304270470869817,0.6667948128905395,0.652162303505593,0.6547680166059187,0.021214150885094266,0.6589648200040795,0.016888817150866126,OK
Majority class__F1_F2,Majority class,F1_F2,2,138593,43,0.28622657709985355,0.2,0.08901280138223513,0.2883204401732413,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.08937123433734859,0.2,0.0,0.08896920092811347,0.0034967066253205185,OK
