config_id,model,feature_set,vowel,precision,recall,f1,support
Majority class__F1_F2,Majority class,F1_F2,a,0.28622657709985355,1.0,0.4450640069111757,39669
Majority class__F1_F2,Majority class,F1_F2,e,0.0,0.0,0.0,36659
Majority class__F1_F2,Majority class,F1_F2,i,0.0,0.0,0.0,22341
Majority class__F1_F2,Majority class,F1_F2,o,0.0,0.0,0.0,33219
Majority class__F1_F2,Majority class,F1_F2,u,0.0,0.0,0.0,6705
Nearest centroid__F1_F2,Nearest centroid,F1_F2,a,0.7721735920691837,0.7382843026040485,0.7548487699266724,39669
Nearest centroid__F1_F2,Nearest centroid,F1_F2,e,0.7338188688444661,0.6568918955781663,0.6932277797768982,36659
Nearest centroid__F1_F2,Nearest centroid,F1_F2,i,0.6833446789199001,0.8087820598898885,0.7407908492712625,22341
Nearest centroid__F1_F2,Nearest centroid,F1_F2,o,0.6910769487843595,0.49799813359824197,0.578861731721399,33219
Nearest centroid__F1_F2,Nearest centroid,F1_F2,u,0.2699639361154044,0.7033557046979866,0.3901712583767684,6705
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,a,0.7846640910066538,0.7372507499558849,0.7602188690035222,39669
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,e,0.7224499287811401,0.6779508442674378,0.6994933858710949,36659
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,i,0.6840232108317215,0.7914596481804753,0.7338299682513333,22341
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,o,0.6965238955907697,0.49884102471477165,0.5813366076126996,33219
LDA shrinkage__F1_F2,LDA shrinkage,F1_F2,u,0.2700387753920945,0.6958985831469053,0.3890927284856571,6705
Logistic regression__F1_F2,Logistic regression,F1_F2,a,0.7810717142095441,0.7385615972169705,0.7592220681791679,39669
Logistic regression__F1_F2,Logistic regression,F1_F2,e,0.7276637795733303,0.682942797130309,0.704594385421797,36659
Logistic regression__F1_F2,Logistic regression,F1_F2,i,0.6906511373407332,0.7909672798889933,0.7374131491643541,22341
Logistic regression__F1_F2,Logistic regression,F1_F2,o,0.7121467025572006,0.5097082994671724,0.594157382226511,33219
Logistic regression__F1_F2,Logistic regression,F1_F2,u,0.2671671960727693,0.6899328859060403,0.3851790174854288,6705
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,a,0.7696862996158771,0.7273689782953944,0.7479295462498542,39669
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,e,0.6950910554081845,0.6361602880602307,0.6643213217490386,36659
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,i,0.6620015948963317,0.7431627948614654,0.7002382910524872,22341
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,o,0.6626766011155898,0.4899605647370481,0.5633783316026306,33219
Nearest centroid__F1_F2_F3,Nearest centroid,F1_F2_F3,u,0.26070451627309776,0.6964951528709918,0.3793971890486636,6705
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,a,0.7824373324925115,0.7506617257808365,0.7662202323516925,39669
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,e,0.7166899197767701,0.6726042718022859,0.6939476239393214,36659
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,i,0.6798938747260354,0.7914596481804753,0.7314470091834202,22341
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,o,0.6996679482698357,0.48207351214666305,0.5708378633682072,33219
LDA shrinkage__F1_F2_F3,LDA shrinkage,F1_F2_F3,u,0.27094453469482477,0.6964951528709918,0.3901257257424502,6705
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,a,0.7935039261984514,0.7285537825506063,0.7596430589688662,39669
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,e,0.7179431369881649,0.7198232357674786,0.7188819571198954,36659
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,i,0.7180144586415602,0.7646479566715904,0.7405978366895715,22341
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,o,0.7221246399213096,0.6188024925494446,0.666482937505066,33219
QDA regularized__F1_F2_F3,QDA regularized,F1_F2_F3,u,0.3052135582915337,0.5989560029828486,0.40436993404823035,6705
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,a,0.7818124073681981,0.7446620787012529,0.7627851729435916,39669
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,e,0.731183110123399,0.6820971657710249,0.70578771328168,36659
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,i,0.6939933172740694,0.7995165838592722,0.7430271012292269,22341
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,o,0.7101602469240201,0.505614256901171,0.5906804993845612,33219
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,u,0.26942283126233885,0.692020879940343,0.38784636603000794,6705
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,a,0.7798468040147913,0.7442839496836321,0.7616504791755343,39669
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,e,0.7187140200159419,0.6640934013475545,0.6903249588839109,36659
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,i,0.6756091936351757,0.7868045297882816,0.7269794660766352,22341
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,o,0.6967127521824485,0.5021222794184051,0.5836249125262422,33219
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,u,0.26684811549612447,0.6726323639075317,0.3821062441752097,6705
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,a,0.7776183262908927,0.7376288789735057,0.7570959145126652,39669
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,e,0.7335500073866155,0.6772416050628768,0.7042720980369908,36659
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,i,0.6930082939307031,0.8003670381809229,0.7428286562947884,22341
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,o,0.69367515740093,0.5074505554050392,0.5861265646731572,33219
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,u,0.27080394922425954,0.687248322147651,0.38851650436322244,6705
Random forest__F1_F2_F3,Random forest,F1_F2_F3,a,0.7749525616698292,0.7721394539816986,0.7735434502613835,39669
Random forest__F1_F2_F3,Random forest,F1_F2_F3,e,0.7179494029332407,0.7331078316375242,0.725449441235221,36659
Random forest__F1_F2_F3,Random forest,F1_F2_F3,i,0.7443989071038252,0.7317040418960655,0.7379968849461638,22341
Random forest__F1_F2_F3,Random forest,F1_F2_F3,o,0.7193079063297009,0.747132665041091,0.7329563073106625,33219
Random forest__F1_F2_F3,Random forest,F1_F2_F3,u,0.3904467221040418,0.3011185682326622,0.34001347254968,6705
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,a,0.7871881659771844,0.7914744510827094,0.7893254896045453,39669
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,e,0.7307496721355351,0.7447830000818353,0.7376996028207831,36659
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,i,0.7566079295154186,0.7380153081777897,0.7471959758004214,22341
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,o,0.7291819983017266,0.7755200337156447,0.7516375147704561,33219
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,u,0.47099218565001183,0.2966442953020134,0.3640190336749634,6705
