speaker,test_fold
0f786745-Audio_SP20,1
2988c6fc-Audio_SP13,1
2e25304d-Audio_SP12,1
42d56bbf-Audio_SP23,1
713a2f9b-Audio_SP16,1
9a0c18cb-Audio_SP14,1
a1a056ce-Audio_SP11,1
d4c363bf-Audio_SP13,1
0af9ac47-Audio_SP14,2
34ad326e-Audio_SP7,2
375a28cd-Audio_SP16,2
51a17262-Audio_SP18,2
5a932187-audio_SP16,2
63239054-Audio_SP15,2
85c7895f-Audio_SP16,2
919b9bc1-Audio_SP14,2
e90f8e4d-Audio_SP22,2
12c532f8-Audio_SP15,3
5278b5b9-Audio_SP15,3
5819ce7a-Audio_SP11,3
7c3c98d2-Audio_SP13,3
7dec1dd7-Audio_SP13,3
c3533b36-Audio_SP16,3
cafd9c21-Audio_SP27,3
dbeec025-Audio_SP13,3
f061152e-Audio_SP12,3
0e6115f2-Audio_SP19,4
30a90cb2-Audio_SP21,4
3361ee02-Audio_SP10,4
501e6487-Audio_SP19,4
514fc6b6-Audio_SP19,4
7a414497-Audio_SP15,4
adad0062-Audio_SP17,4
fcd45f4d-Audio_SP21,4
061ea7d0-Audio_SP16,5
181d5ce9-Audio_SP21,5
1c403477-Audio_SP13,5
1d46eb6e-Audio_SP18,5
49ae7020-Audio_SP17,5
5586979c-Audio_SP18,5
7aee4437-Audio_SP12,5
7e277fda-Audio_SP28,5
a452055c-Audio_SP11,5
